question,contexts,ground_truth,evolution_type,metadata,episode_done
ICC JEJU의 운영시간과 연락처는 어떻게 되나요?,"['----\n\n## Looking for Jeju Travel Information?  \n### 제주여행 무엇이든 물어보세요!\n\n### Jeju Travel Hot Line  \n064 · 740 · 6000  \n- 한 (Korean)  \n- En (English)  \n- 中 (Chinese)  \n- 日 (Japanese)  \n\n> ""진짜 제주 사람이 들려주는 진짜 제주""\n\n상담시간 : 09:00 ~ 18:00 (연중무휴)\n\n----\n\n* 전문 제주관광 상담인력 보유  \n* 응급상황을 대비한 유관기관 현장 출동 서비스  \n* 카카오톡 플러스친구 [제주관광공사] 검색하여 채팅 상담 가능  \n\nQR 코드 이미지\n\n\n\n\n\n\n# 중문 면세점.\n\n제주관광공사 중문면세점  \nICC JEJU 제주국제컨벤션센터 내  \n이용시간 10:00 - 19:00  \n문의 064-780-7700  \n주소 제주특별자치도 서귀포시 중문관광로 224\n\n----\n\n## 이제 중문, 성산면세점에서  \n### 주류 20%, 최대 50% 할인  \n* 주류 2병 구매 시 20% 할인  \n* 본 행사는 변경될 수 있음\n\n----\n\n## 설레는 선물  \n### ₩10,000  \n중문면세점 방문 시  \n- 10만원 이상 구매 시 1만원 할인  \n- 1인 1매 사용 가능, 중복 할인 불가  \n- 쿠폰명: 웰컴포켓북 할인혜택  \n- 중문면세점 방문 후 안내데스크에서 제시해 주세요\n\n\n\n\n\n\n주류성지 THE JEJU DUTY FREE 제주관광공사면세점 중문점 성산�']","ICC JEJU의 운영시간은 10:00~19:00이며, 연락처는 064-780-7700입니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
12월부터 2월까지 제주 일기 예보는 어떤 정보를 제공하나요?,"['# 제주의 겨울 (12월~2월)\n\n* 내륙보다 포근하여 영하 기온으로 내려가는 날이 비교적 적다.\n* 바람이 매섭고 잦아, 체감온도는 더욱 떨어지는 경우가 많다.\n* 눈꽃 트레킹을 떠난다면 방한용품 준비를 단단히 해야 한다.\n\n<table>\n<thead>\n<tr>\n<th>월별</th>\n<th>12월</th>\n<th>1월</th>\n<th>2월</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>최고/최저기온</td>\n<td>19.8℃ ~ 3.4℃</td>\n<td>14.7℃ ~ 2℃</td>\n<td>17.8℃ ~ 2.2℃</td>\n</tr>\n<tr>\n<td>평균</td>\n<td>10.7℃</td>\n<td>7.8℃</td>\n<td>9.3℃</td>\n</tr>\n</tbody>\n</table>\n\n> 2025년 서귀포기준(기상청국립기후데이터센터)\n\n\n\n\n\nAbout Jeju\n\n# 주요 도로 소개\n\n제주도의 모든 길은 아름답다. 바다를 풍경 삼아 달릴 수 있는 해안도로와 계절마다 다른 한라산의 풍경이 반기는 중산간로까지. 이동하는 시간마저 힐링의 시간이 될 것이다. 풍경에 취해 과속은 금물, 안전 운전으로 제주도를 만끽하자.\n\n----\n\n## 1132 일주도로  \n해안을 따라 제주도를 순환하는 도로이다. **해안을 따라 이어져 해안 경치를 즐기기에 좋다.**\n\n## 1135 평화로  \n서귀포시 대정읍과 제주']","12월부터 2월까지의 제주 날씨 예보는 12월 최고 19.8°C에서 최저 3.4°C, 1월 14.7°C에서 2°C, 2월 17.8°C에서 2.2°C로 기온 범위에 대한 정보를 제공합니다. 12월은 10.7°C, 1월은 7.8°C, 2월은 9.3°C로 강수량에 대한 정보도 포함되어 있습니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
상대성 이론에서 시공간 곡률과 중력의 관계는 무엇일까요?,"['※ 비짓제주 연간 조회수 참조, 가나다 순\n\n----\n\n## 거문오름  \n📍 제주시 조천읍 선교로 569-36  \n제주도의 오름 중 유일하게 유네스코 세계자연유산에 등재되었는데, 화산지형과 용암동굴은 지질학적 가치가 매우 높다.  \n트레킹은 예약제로 운영되며, 당일예약은 불가하다.\n\n----\n\n## 렛츠런파크  \n📍 제주시 애월읍 평화로 2144  \n경마장으로 매주 금요일과 토요일에 제주마 경주가 열린다. 말 테마파크로서 조랑말 승마체험, 무료 파크골프장, 미니 조랑말 박물관, 어린이 놀이시설이 있다.  \n경마를 즐기지 않는 관광객도 방문하기에 좋다.\n\nJEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 만장굴\n\n- **위치:** 제주시 구좌읍 만장굴길 182  \n- 화산 용암의 침하 운동으로 생성된 세계 최고 규모의 용암 동굴.  \n- 궁전에 들어온 듯한 내부의 경관은 웅장함이 느껴지는데, 제주도를 닮은 정교한 돌거북은 관광객들에게 인기가 있다.  \n- (2026년 개관)  \n\n# 비자림\n\n- **위치:** 제주시 구좌읍 비자숲길 55  \n- 약 45만㎡ 규모에 500~800년생 비�']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,reasoning,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
귀족의 부와 계급을 연결하는 특성은 무엇인가요?,"['려서 은빛이 그대로 살아 있다. 그물로 잡아 올린 갈치는 표면의 은빛이 상해 먹색을 띄기 때문에 먹갈치라 부른다. 갈치회나 갈치국에는 싱싱한 제주의 은갈치가 제격이다.\n\n> ""어떤 요리를 해도 맛있는 갈치""\n\n갈치 생선과 갈치 손질된 모습\n\n\n\n\n\n\n꼭 맛봐야 할 갈치 요리\n\n# 갈치국\n살이 두툼한 싱싱한 은갈치와 여름에는 풋배추와 청양고추를 넣어 국을 끓이고, 가을에는 늙은 호박과 풋배추를 함께 넣어 끓인다. 늙은 호박의 달큰한 맛이 국물에 베어 나와 천연의 단맛과 은갈치의 감칠맛을 국물에서 느낄 수 있다.\n\n은갈치와 호박, 풋배추가 들어간 갈치국\n\n# 갈치조림\n토막 낸 갈치에 무, 노란 호박 등과 매콤한 양념장을 함께 졸여서 먹는 요리다. 담백한 맛의 갈치살도 맛있지만 곁들여 먹는 무나 호박도 별미고 신선한 갈치와 야채가 우러난 깊은 맛의 양념국물은 특히 맛있다.\n\n갈치조림']",문맥상 귀족의 부와 계급을 연결하는 구체적인 특성은 제공되지 않습니다.,reasoning,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주향토음식.md'}],True
제주에는 한글 이름을 가진 해변이 몇 개나 있나요?,"['Map of Jeju beaches with names in Korean: 김녕해수욕장, 함덕해수욕장, 월정해수욕장, 삼양해수욕장, 이호테우해수욕장, 곽지해수욕장, 협재/금능해수욕장, 신양섭지해수욕장, 표선해수욕장, 화순금모래해수욕장, 중문색달해수욕장\n\n# 개성 뚜렷한 12개의 제주 바다, 제주의 해수욕장\n\n모두 저마다의 개성이 있는 제주의 해수욕장. 잔잔한 바다와 풍경이 아름다운 협재, 금능해수욕장.  \n바다와 함께 용천수를 즐길 수 있는 곽지해수욕장, 서우봉과 어우러진 아름다운 해안 함덕해수욕장  \n등 모두 열거하기 힘들 만큼 매력적인 해변의 천국이다. 협재, 함덕, 삼양, 월정, 이호테우해수욕장 등  \n야간개장하는 해수욕장도 있다. 지도를 펴고 가장 가까운 해수욕장으로 가보자.\n\n----\n\n## 바다에서 즐기는 힐링, 스노클링\n\n간단한 장비를 갖추고 바다에서 즐기는 스노클링. 한번 경험해 본 사람이면 그 맛을 잊지 못한다.  \n바다로 둘러싸인 제주에는 판포포구 등 여행객들이 즐겨 찾는 스노클링 명소가 많다.']",문맥상 제주에는 한글 이름이 있는 해수욕장이 12곳이 있다고 언급되어 있습니다.,reasoning,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
제주의 역사와 기후에서 고대 성곽은 어떤 역할을 했나요?,"['About Jeju\n\n# 제주의 날씨와 환경\n\n대한민국 최고의 휴양지인 제주도는 내륙에 비해 대체로 포근한 편이지만, 환절기에는 기온차가 크고 여름에는 높은 습도를 자랑하는 변화무쌍한 섬이다.\n\nLeft image: 돌담과 푸른 들판, Right image: 해변과 파라솔이 있는 바다 풍경\n\n## 제주의 봄 (3월~5월)\n\n* 포근한 공기와 따뜻한 햇살이 함께해 여행의 최적기로 꼽힌다.\n* 매화, 유채꽃, 벚꽃 등 모두 나열할 수 없을 만큼 많은 생명들이 움트는 제주의 봄.\n* 일교차가 심한 날들이 많으니 얇은 겉옷이나 스카프 등을 반드시 챙기도록 하자.\n\n<table>\n  <thead>\n    <tr>\n      <th>월</th>\n      <th>3월</th>\n      <th>4월</th>\n      <th>5월</th>\n    </tr>\n  </thead>\n  <tbody>\n    <tr>\n      <td>최고/최저기온</td>\n<td>21.9℃ ~ 4.2℃</td>\n<td>24.9℃ ~ 5.4℃</td>\n<td>29.7℃ ~ 12.1℃</td>\n    </tr>\n<tr>\n      <td>평균기온</td>\n<td>11.6℃</td>\n<td>15℃</td>\n<td>19.9℃</td>\n    </tr>\n  </tbody>\n</table>\n\n## 제주의 여름 (6월~8월)\n\n* 내리쬐는 햇볕과 시원한 바다의 풍경이 어우러지는 계절이다.\n* 습하며 장마로 인한 폭우나 태풍이 오는 경우가 �']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,reasoning,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
상대성 이론에서 시공간 곡률과 중력의 관계는 무엇일까요?,"['※ 비짓제주 연간 조회수 참조, 가나다 순\n\n----\n\n## 거문오름  \n📍 제주시 조천읍 선교로 569-36  \n제주도의 오름 중 유일하게 유네스코 세계자연유산에 등재되었는데, 화산지형과 용암동굴은 지질학적 가치가 매우 높다.  \n트레킹은 예약제로 운영되며, 당일예약은 불가하다.\n\n----\n\n## 렛츠런파크  \n📍 제주시 애월읍 평화로 2144  \n경마장으로 매주 금요일과 토요일에 제주마 경주가 열린다. 말 테마파크로서 조랑말 승마체험, 무료 파크골프장, 미니 조랑말 박물관, 어린이 놀이시설이 있다.  \n경마를 즐기지 않는 관광객도 방문하기에 좋다.\n\nJEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 만장굴\n\n- **위치:** 제주시 구좌읍 만장굴길 182  \n- 화산 용암의 침하 운동으로 생성된 세계 최고 규모의 용암 동굴.  \n- 궁전에 들어온 듯한 내부의 경관은 웅장함이 느껴지는데, 제주도를 닮은 정교한 돌거북은 관광객들에게 인기가 있다.  \n- (2026년 개관)  \n\n# 비자림\n\n- **위치:** 제주시 구좌읍 비자숲길 55  \n- 약 45만㎡ 규모에 500~800년생 비�']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,reasoning,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
고대 방어는 건축의 진화와 문화에서 어떤 역할을 했나요?,"[""시 무료  \n- **홈페이지**: www.instagram.com/papaville.jeju  \n\n'파파'는 아버지, '빌레'는 제주어로 넓은 바위를 뜻하며 용암이 흐르며 만들어진 거대한 한반도 지도 모양의 현무암과 자연 현무암 지대의 풍경으로 자연의 신비와 감동을 주는 공원\n\n# 심신을 치유하는 체험을 할 수 있는 곳\n\n## 취다선 CHUIDASUN\n- **주소**: 제주 서귀포시 성산읍 해맞이해안로 2688  \n- **가격**: 1인 25,000원 ~ 35,000원  \n- **홈페이지**: www.chuidasun.com"", '# 심신을 치유하는 체험을 할 수 있는 곳\n\n## 취다선 CHUIDASUN\n- **주소**: 제주 서귀포시 성산읍 해맞이해안로 2688  \n- **가격**: 1인 25,000원 ~ 35,000원  \n- **홈페이지**: www.chuidasun.com  \n\n제주 성산 해안도로에 위치해 아름다운 제주 풍경을 배경으로 명상, 요가, 다도 클래스 진행하며 일상을 벗어나 나를 찾기 위해 제주를 방문한 여행객과 지친 현대인들에게 차와 명상을 통해 온전한 쉼을 전하는 곳\n\n# 인센스 만들기를 통해 몸과 마음을 돌보는 힐링 체험\n\n## 제주담공방 JEJU DAM WORKROOM\n- **주소**: 제주 제주시 월랑북길 33  \n- **가격**: 만들기 체험 (1인) 45,000원 ~ 70,000원  \n- **홈페이지**: www.instagram.com/jejudam_studio  \n\n제주의 약용식물과 천연 유래 원료를 활용한 천연 비누 및 인센스 만들기 등 다양한 교육 프로그램이 있는 엄마와 딸이 운영하는 수제공방\n\n# TMS, 크리스탈 사운드 테라피 힐링프로그램\n\n## 위호텔 사운드 테라피 WE HOTEL SOUND THERAPY\n- **주소**: 제주 서귀포시 1100로 453-95  \n- **가격**: 1인 154,000원 (40분)  \n- **홈페이지**: wehotel.co.kr  \n\n맑고 영롱한 소리를 통해 이완이 깊어�']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,multi_context,"[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}, {'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}]",True
제주여행 핫라인 번호와 지원 언어는 무엇인가요?,"['----\n\n## Looking for Jeju Travel Information?  \n### 제주여행 무엇이든 물어보세요!\n\n### Jeju Travel Hot Line  \n064 · 740 · 6000  \n- 한 (Korean)  \n- En (English)  \n- 中 (Chinese)  \n- 日 (Japanese)  \n\n> ""진짜 제주 사람이 들려주는 진짜 제주""\n\n상담시간 : 09:00 ~ 18:00 (연중무휴)\n\n----\n\n* 전문 제주관광 상담인력 보유  \n* 응급상황을 대비한 유관기관 현장 출동 서비스  \n* 카카오톡 플러스친구 [제주관광공사] 검색하여 채팅 상담 가능  \n\nQR 코드 이미지\n\n\n\n\n\n\n# 중문 면세점.\n\n제주관광공사 중문면세점  \nICC JEJU 제주국제컨벤션센터 내  \n이용시간 10:00 - 19:00  \n문의 064-780-7700  \n주소 제주특별자치도 서귀포시 중문관광로 224\n\n----\n\n## 이제 중문, 성산면세점에서  \n### 주류 20%, 최대 50% 할인  \n* 주류 2병 구매 시 20% 할인  \n* 본 행사는 변경될 수 있음\n\n----\n\n## 설레는 선물  \n### ₩10,000  \n중문면세점 방문 시  \n- 10만원 이상 구매 시 1만원 할인  \n- 1인 1매 사용 가능, 중복 할인 불가  \n- 쿠폰명: 웰컴포켓북 할인혜택  \n- 중문면세점 방문 후 안내데스크에서 제시해 주세요\n\n\n\n\n\n\n주류성지 THE JEJU DUTY FREE 제주관광공사면세점 중문점 성산�', '### Jeju Travel Hot Line  \n`064·740·6000`  \n(한 / En / 中 / 日)\n\n> ""진짜 제주 사람이 들려주는 진짜 제주""\n\n상담시간 : 09:00 ~ 18:00 (연중무휴)\n\n\n\n\n\n# 하늘과 바다가 사랑한 섬 제주  \n## 혼저옵서 - 제주오름  \n### JEJU THEME BOOK  \n\n2025년 5월  \n\n----\n\n**발행** 제주특별자치도(www.jeju.go.kr)  \n**제작** 제주관광공사(www.ijto.or.kr)  \n**편집** 제주관광공사  \n**사진** 민대장트레킹캠프, 이경민(사진작가)  \n**감수** 현원학 제주생태교육연구소장  \n\n----\n\n본 \'제주오름\'은  \n제주특별자치도와 제주관광공사 통합 마케팅 전문 공기업  \n제주관광공사의 저작물입니다.  \n저작권자의 동의 없이 다른 용도로 사용하실 수 없습니다.\n\n\n\n\n\nPRINTED WITH SOY INK earth pact\n\n이 책자는 지구환경 보호의 사회적 책임을 실현하고 지속가능한 관광과 환경을 추구하기 위해  \n100% 사탕수수 잔여물로 만든 친환경 종이에 콩기름 잉크를 사용하여 만들어졌습니다']","제주 여행 핫라인 번호는 064-740-6000이며, 다음 언어를 지원합니다: 한국어, 영어, 중국어, 일본어.",multi_context,"[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}, {'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주오름.md'}]",True
"49년 1월 제주도에서 일어난 주요 사건들, 특히 4.3 사건과 유네스코 등재와 관련해 제주도의 역사를 형성한 사건은 무엇인가요?","['JEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 너븐숭이 4.3기념관\n1949년 1월 17일, 북촌리 바로 옆 마을인 함덕에 주둔하던 군인 2명이 무장대의 습격을 받고 숨지는 일로 촉발됐다. 마을 전체가 불에 타고 400여 명이 희생됐다. 희생자 가운데 어린아이도 있었다. 일가족이 몰살된 경우도 있었다. 이들을 추념하기 위해 너븐숭이에는 추모비와 작은 기념관이 들어서 있다.\n\n# 곤을동 마을 터\n1949년 1월, 마을에 무장대원이 숨어들었다는 첩보를 입수한 진압군이 마을 전체를 불태우고 주민 수십 명이 학살됐다. 지금도 곤을동에는 당시 집터의 흔적이 뚜렷이 남아 있다. 곤을동 말고도 4·3 기간 중 진압군의 초토화 작전으로 중산간 마을 대부분이 불타 없어졌다.\n\n# 제주4·3평화공원\n제주 4·3 평화공원은 4·3 사건 당시의 희생자들을 기리기 위한 공간이다. 공원 안에는 제주 4·3 평화기념관, 위령제단, 위령탑, 봉안관 등이 이곳을 지키고 있다. 전시실을 통해 4·3의 발발, 전개, 결과, 진상 규명 운동까지 전 과정이 차례로 펼쳐져 있어 자연', '�연기념물로 지정. 2007년 UNESCO 세계자연유산에 등재, 2010년에는 UNESCO 세계지질공원으로 인증되었다.\n\nJEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 쇠소깍\n- 위치: 서귀포시 쇠소깍로 104  \n제주 올레 6코스의 시작 지점으로 바닷물과 민물이 만나는 비밀스러운 계곡. 양벽에 기암괴석이 병풍처럼 둘러서 있고, 그 위로 숲이 우거져 신비한 계곡에 온 기분을 느낄 수 있다.\n\n# 아침미소목장\n- 위치: 제주시 첨단동길 160-20  \n제주시 중산간에 위치한 목장으로, 유기농 우유로 만든 유제품을 만나 볼 수 있고, 너른 초지에서는 사진 찍기가 좋다. 동물과 교감하고, 체험도 할 수 있다. 체험은 유료이며, 예약을 해야 한다.']","1949년 1월, 제주도에서 일어난 중요한 사건은 4.3 사건으로 수많은 사람이 희생된 사건입니다. 이 사건은 제주도의 역사를 형성하는 데 중추적인 역할을 했습니다. 또한 2007년에는 제주도가 유네스코 세계문화유산으로 등재되었고, 2010년에는 세계지질공원으로 지정되어 제주도의 역사적, 문화적 중요성이 더욱 부각되었습니다.",multi_context,"[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}, {'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}]",True
독특한 주변 환경으로 인해 방문객들은 마젤랜드에서 무엇을 할 수 있나요?,"['�가 가득한 애월 바다와 한라산 사이의 스마트 레이싱 테마파크\n\n----\n\n## 메이즈랜드 MAZELAND  \n제주도의 삼다(三多: 바람, 물, 여자)의 테마로 제주 신화 조각품들과 다양한 나무들이 심어져 가장 제주답고 신비로운 세계 최장의 석축 미로 공원  \n- 주소: 제주 제주시 구좌읍 비자림로 2134-47  \n- 가격: 성인 12,000원, 청소년 10,000원, 어린이/경로 9,000원  \n- 홈페이지: mazeland.co.kr  \n- 설명: 제주도의 삼다(三多: 바람, 물, 여자)의 테마로 제주 신화 조각품들과 다양한 나무들이 심어져 가장 제주답고 신비로운 세계 최장의 석축 미로 공원\n\n----']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,multi_context,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}],True
현지인들이 전통을 보존할 때 문화유산은 여행에 어떤 영향을 미칠까요?,['----\n\n> 제주올레 064-762-2190\n\n\n\n\n\nTravel Jeju    제주여행 버킷리스트\n\n# 레저 스포츠 여행\n\n## 스쿠버다이빙  \n푸른 물빛 아래로 풍덩 뛰어들다.  \n연중 20도의 수온을 유지하는 바다와 아름다운 해저 풍경을 자랑하는 제주 문섬과 범섬 주변은 스쿠버다이빙을 즐기기에 제격이다.  \n> **TIP** 수영실력과는 무관하므로 누구나 쉽게 도전할 수 있다\n\n스쿠버다이빙 이미지  \n(이미지: 맑고 푸른 바다에서 스쿠버다이빙을 즐기는 사람들)\n\n## 유람선·잠수함  \n심연의 바다 여행  \n세계적으로 희귀한 수중 생태계를 간직하고 있는 서귀포시 앞바다의 연산호 군락지를 볼 수 있는 제주바다 탐험은 절대 놓칠 수 없는 코스이다. 화산섬 제주의 빼어난 해저 지형을 눈에 담아 두고두고 기억하자.  \n> **TIP** 뱃멀미 약을 준비하자.\n\n유람선·잠수함 이미지  \n(이미지: 유람선에서 바라본 바닷속 물고기 떼)\n\n## 패러글라이딩  \n푸른 하늘을 날아라  \n수많은 오름 위로 시원하게 불어주는 바람을 타고 새처럼 하늘을 날아보는 상상은 �'],주어진 질문에 대한 답변이 컨텍스트에 없습니다.,conditional,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
K-Media가 K-POP에 집중하는 것은 어떻게 글로벌 인게이지먼트를 향상시킬 수 있을까요?,"[""K-CONTENTS | K-Media    K-CONTENTS | K-Media\n\n# K-Media\n\nK-POP 가수와 드라마,  \n방송에서 배우들이 함께 즐겼던  \n제주도의 아름다운 자연과 관광지를 소개 합니다.\n\n----\n\n### [트와이스] '시그널' 뮤직비디오 촬영지  \n#### 환상숲 곶자왈공원  \nHWANSANG FOREST GOTJAWAL PARK  \n- 주소: 제주 제주시 한경면 녹차분재로 594-1  \n- 가격: 성인 5,000원, 어린이 4,000원  \n- 홈페이지: hwansangforest.modoo.at  \n\n<2021 제주 웰니스 관광지(자연/숲 치유)> 선정  \n다양한 식물이 공존하며 자연 그대로의 모습을 간직한 공원으로 '숲 해설' 체험 프로그램을 통해 50분 가량 천천히 걸으며 마음의 여유를 찾을 수 있는 곳\n\n----\n\n### [BTS 지민] 여행 중 바다를 보고 싶어 들린 곳  \n#### 협재해수욕장  \nHYEOPJAE BEACH  \n- 주소: 제주 제주시 한림읍 협재리 2497-1  \n- 가격: 무료  \n\n제주도 서쪽의 대표 해수욕장으로 에메랄드빛 물감을 풀어놓은 듯한 투명한 바다와 소나무 숲이 있으며, 수심이 얕아 어린이가 있는 가족 단위 여행객의 휴가지로 좋은 해수욕장\n\n----\n\n### [트와이스] '시그널' 뮤직비디오 촬영지  ""]",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,conditional,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}],True
제주도의 자연과 문화가 어우러진 여행지에는 어떤 명소가 있을까요?,"['JEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 게스트하우스\n여행자들의 여행 패턴이 변화하며 게스트하우스 역시 변화를 꾀하고 있다. 도미토리 위주의 단체실에서 벗어나 1인실과 2인실로 변화하는 추세이며, 한정된 공간 안에서 최대한 프라이빗 한 공간을 제공하려 노력하는 모양새다. 조식을 제공 등 이른바 호텔식 서비스를 누릴 수 있는 가성비 숙소로 변화하고 있다.\n\n# 풀빌라\n여행의 피로를 풀기에 안성맞춤인 스파와 개인 풀장, 노천탕까지 겸비한 럭셔리 펜션들이 많이 들어서 있다. 높은 가격대의 숙박비를 자랑하는 곳도 있지만 특별한 순간을 기념하기 위한 여행자들에게는 좋은 선택지가 될 것이다.\n\n# 글램핑\n제주에서 즐기는 캠핑. 캠핑에 관심이 있는 여행객이라면 솔깃한 제안일 것이다. 무거운 장비를 챙기지 않고도 가볍게 캠핑을 즐길 수 있는 장소가 있다. 숙박에 필요한 모든 것이 갖춰진 캠핑카에서 하룻밤을 보내거나 침대까지 갖춰진 텐트로 무장한 글램핑장에서의 하룻밤도 좋은 추']",제주도의 자연과 문화가 어우러진 특별한 볼거리가 관광객들에게 제공되지 않는 상황입니다.,conditional,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
성수기 제주신화월드에서 진행하는 이벤트의 장소와 비용은 어떻게 되나요?,"[""## 드라마 '이상한 변호사 우영우' 촬영지  \n### 창꼬바위 CHANG-KKOM ROCKS  \n- 주소: 제주 제주시 조천읍 북촌리 403-9  \n- 가격: 무료  \n“창 고망난 돌”이라는 뜻의 창을 뚫어 놓은 듯한 기암. 창꼬를 통해 보는 다려도와 어우러진 석양은 비경이고, “창꼬말”이라는 주변 조간대는 해산물이 풍부  \n\n## [오마이걸] 'DUN DUN DANCE' 뮤직비디오 촬영  \n### 제주 신화월드 아이존액트 JEJU SHINHWA WORLD I-ZONE ACT  \n- 주소: 제주 서귀포시 안덕면 신화역사로304번길 38  \n- 가격: 락볼링 1회 5,500원, 오락실 1회 1,000원  \n- 홈페이지: www.shinhwaworld.com  \n락볼링장, 포켓볼, 다트 등 다양한 게임이 있는 스포츠 펍과, 70여 개의 게임이 있는 아케이드까지 가족, 친구, 연인이 함께 즐길 수 있는 제주 신화월드 내 복합놀이공간 아이존액트  \n\n## [BTS 진] SNS 업로드한 곳  \n### 이호테우해변 IHO TEWOO BEACH  \n- 주소: 제주 제주시 도리로 20  \n- 가격: 무료  \n낮과 밤이 모두 아름다워 붉고 흰 초장망 등대를 배경으로 사진 찍기 좋고 여름이면 해변의 포차를 즐기기 좋은 제주 공항과 �""]","성수기 제주신화월드 이벤트 장소는 제주시 서귀포시 안덕면 신화읍사로304번길 38에 위치한 제주시 신화월드 I-ZONE ACT입니다. 요금은 성인 1회 5,500원, 어린이 1회 1,000원입니다.",conditional,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}],True
문화유산은 관광 증가와 함께 제주의 정체성을 어떻게 형성하고 있을까요?,"['# 수제햄버거\n간편해 보이지만 결코 가벼운 맛은 아닌 수제햄버거 맛집도 많다. 제주 로컬 재료들을 이용하거나 자기만의 특별한 레시피로 승부하는 맛집들. 바다를 바라보며 먹는 햄버거는 제주에서 누릴 수 있는 특권일 것이다.\n\n# 제주 특산물 빵\n재래시장에서 좀녀빵, 문어빵, 하루방빵 등 다양한 재료와 모양의 앙증맞은 이색빵들이 인기다. 깜찍한 모양과 풍부한 맛까지. 선물로 안성맞춤이다.\n\n----\n\n다양한 음식과 맛집 정보는 **비짓제주(www.visitjeju.net)** 에서 확인할 수 있다.\n\n\n\n\n\nCulture Jeju\n\n# 제주도 숙소 소개\n\n제주도에는 호텔부터 게스트하우스까지 다양한 종류의 숙소가 있다. 가족, 연인을 위한 아늑하고 낭만적인 호텔이나 친구와 여행하기에 좀 더 편한 펜션이 있고 대가족은 독립적인 공간의 독채 펜션 혹은 리조트가 좋을 것이다. 부모님을 모시고 가거나 아이와 함께 간다면 수영장이 있는 호텔이나 풀빌라를 선택하는 것이 좋다.\n\n----\n\n## 호텔 / 리조트\n\n관광도시 제주에는 수많은 호텔']",문화유산이 관광 증가와 함께 제주의 정체성을 어떻게 형성하는지에 대한 구체적인 정보를 제공하지 않습니다.,conditional,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
